,qf1,qf2,qf3_1,qf3_3,qf3_4,qf3_6,qf3_7,qf3_8,qf4,qf8,qf9_4,qf9_5,qf9_6,qf9_10,qprod1c_1,qprod1c_2,qprod1c_10,qprod1c_11,qprod1c_12,qprod1c_3,qprod1c_5,qprod1c_6,qprod1c_14,qprod1c_7,qprod1c_8,qprod2,qprod3_2,qprod3_4,qprod3_8,qprod3_9,qprod3_10,qprod3_11,qprod3_17,qprod3_18,qf10_1,qf10_2,qf10_3,qf10_4,qf10_5,qf10_6,qf10_7,qf10_8,qf10_9,qf10_10,qf10_11,qf10_12,qk1,qf11,qf12_1_a,qf12_1_b,qf12_2_d,qf12_3_e,qf12_3_f,qf12_4_l,qf12_6_q,qf12_7_r,qf13,qd1,qd7,qd9,qd10,AREA5,check,qf9_2_3,qf9_7_8,qf9_1_9,qprod3_1_16,qprod3_3_6,qprod3_5_7_12_14,qprod3_13_15,qf12_1c_3g,qf12_4k_5m_5o_6p,fin_knowledge_score
20,1,0,0,0,0,0,0,1,-99,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,3,3,1,5,1,5,3,2,1,1,2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,7,3,6,1,0,0,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.5
21,2,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,2,3,1,4,3,4,3,2,3,5,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,3,6,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,3.0
22,1,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,5,1,-99,1,-99,2,2,5,1,1,5,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,6,1,6,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,2.0
23,2,0,0,1,0,1,0,0,-99,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,4,1,5,1,3,2,3,3,5,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,6,3,6,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0
24,2,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,5,5,1,5,3,3,3,4,3,5,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,5,3,6,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,4.0
25,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4,4,2,5,3,3,4,5,2,3,4,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,1,2,1,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,-2.5
26,2,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,5,3,1,5,3,5,3,5,5,5,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,6,5,6,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,4.0
27,3,0,0,1,0,0,0,0,-99,-99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,4,2,3,3,3,3,3,3,3,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,1,2,1,2,1,0,1,0,0,0.0,0.0,1.0,0.0,-99.0,-99.0,1.0
28,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,5,5,1,5,1,-99,5,1,1,5,5,3,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,1,6,1,1,1,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.5
29,2,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,5,2,1,5,1,3,1,3,1,3,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,5,5,1,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,2,0,0,0,0,1,0,0,1,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,3,2,1,5,2,2,3,4,5,5,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,6,1,6,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0
31,2,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,5,3,5,2,5,2,1,1,4,5,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,3,3,4,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
32,2,1,0,0,0,1,0,0,1,6,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,3,2,2,3,3,3,2,3,3,2,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,6,3,6,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.5
33,3,0,0,0,0,0,0,1,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,3,2,-99,5,3,4,3,2,4,5,5,4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1,1,3,5,1,0,0,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-1.0
34,2,0,0,0,0,0,0,1,1,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,5,2,1,1,1,1,1,1,2,5,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,5,3,6,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,2.5
35,2,0,0,0,0,1,0,0,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,5,1,3,1,2,3,1,4,1,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,6,3,6,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.5
36,2,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,3,3,1,3,3,3,2,5,5,5,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,5,3,1,1,0,1,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,2.5
37,2,0,0,0,0,0,0,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,5,1,5,5,1,4,5,5,5,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,1,5,5,2,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
38,2,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,5,4,1,4,1,5,4,4,5,5,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,3,3,2,1,0,1,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,2.5
39,3,0,0,1,0,0,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2,3,4,2,-99,2,1,1,2,5,5,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,3,5,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.5
40,3,0,0,0,0,0,0,1,-99,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,3,2,2,4,3,-99,2,3,2,2,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,1,2,1,2,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,1.5
41,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,-99,2,5,2,5,-99,1,3,1,5,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,7,3,6,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,2.5
42,2,-99,0,1,0,0,0,0,-99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,3,3,1,5,1,4,3,2,3,5,5,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,0,5,3,2,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2.0
43,2,-99,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,3,1,5,1,4,3,3,3,5,3,-99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,1,4,3,2,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,1,0,0,0,0,0,0,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,3,4,1,1,1,3,3,3,2,5,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,7,1,6,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,2.5
45,2,1,0,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4,3,4,2,2,1,2,3,3,3,5,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,6,5,6,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
46,1,0,0,0,0,0,0,1,-99,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,1,4,1,5,1,5,3,5,1,2,5,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,6,3,10,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,1.5
47,2,-99,0,0,0,0,0,0,1,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,5,4,4,1,3,2,-99,4,3,4,5,3,-99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,1,4,5,1,1,0,0,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.5
48,1,0,0,0,0,0,0,1,1,6,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,1,4,2,3,2,4,5,5,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,3,1,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
49,3,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,2,3,1,5,2,4,2,2,4,5,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,2,1,1,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0
50,2,-99,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,3,5,1,4,1,2,5,2,1,5,-99,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,5,3,6,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,1.0
51,1,0,0,0,0,0,0,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,3,3,1,5,2,5,2,2,5,5,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,7,1,1,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,2.0
52,1,-99,0,0,0,0,0,1,-99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,5,4,3,5,1,2,4,-99,2,-99,-99,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,6,1,6,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,3.5
53,3,-99,0,1,0,0,0,0,-99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,4,4,1,-99,2,-99,3,3,3,5,3,-99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,1,5,9,1,0,0,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,1.0
54,2,-99,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,2,5,3,5,2,3,4,1,1,2,5,5,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-99,0,4,5,5,1,0,0,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,1.0
55,3,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,2,2,2,5,1,2,3,1,1,5,5,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,1,3,5,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0
56,1,1,1,1,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,4,4,3,3,3,3,3,1,3,3,4,3,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5,1,2,3,5,1,0,0,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,4.0
57,2,0,0,0,0,0,0,1,-99,6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5,1,5,5,1,5,1,1,-99,-99,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,0,6,5,6,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
58,2,0,0,0,0,0,0,0,-99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,4,3,1,5,3,3,3,2,4,5,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99,1,3,1,1,1,0,0,0,1,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0
59,2,0,0,1,0,0,0,0,-99,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2,2,1,2,5,2,3,1,2,2,5,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,2,1,2,1,0,0,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,1.0
60,1,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1,4,1,1,5,3,1,1,5,4,5,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,4,3,1,1,0,0,0,0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,1.5
61,2,0,0,1,0,1,0,0,1,3,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,3,1,-99,-99,1,-99,4,5,5,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,6,1,6,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
